 SSTREAM(uvh/supg) (time|dt)=(1.2|0.02): Converged to given tolerance of 1e-15 with r=7.73832e-17 in 4 iterations and in 1.71133  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.22|0.02): Converged to given tolerance of 1e-15 with r=2.91851e-17 in 5 iterations and in 2.14074  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.24|0.02): Converged to given tolerance of 1e-15 with r=4.77423e-17 in 5 iterations and in 2.13807  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.26|0.02): Converged to given tolerance of 1e-15 with r=7.88732e-16 in 4 iterations and in 1.72584  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.28|0.02): Converged to given tolerance of 1e-15 with r=4.02879e-20 in 4 iterations and in 1.71703  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.3|0.02): Converged to given tolerance of 1e-15 with r=5.46251e-21 in 4 iterations and in 1.71596  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.32|0.02): Converged to given tolerance of 1e-15 with r=3.67752e-17 in 5 iterations and in 2.16823  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.34|0.02): Converged to given tolerance of 1e-15 with r=3.08574e-16 in 5 iterations and in 2.12713  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.36|0.02): Converged to given tolerance of 1e-15 with r=1.79592e-16 in 3 iterations and in 1.28426  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.38|0.02): Converged to given tolerance of 1e-15 with r=6.24434e-17 in 5 iterations and in 2.15225  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.4|0.02): Converged to given tolerance of 1e-15 with r=2.23851e-18 in 4 iterations and in 1.71661  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.42|0.02): Converged to given tolerance of 1e-15 with r=1.4646e-16 in 7 iterations and in 3.01159  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.44|0.02): Converged to given tolerance of 1e-15 with r=1.2743e-20 in 4 iterations and in 1.70529  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.46|0.02): Converged to given tolerance of 1e-15 with r=3.87159e-18 in 3 iterations and in 1.28637  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.48|0.02): Converged to given tolerance of 1e-15 with r=1.21309e-19 in 3 iterations and in 1.30139  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.5|0.02): Converged to given tolerance of 1e-15 with r=1.83303e-18 in 2 iterations and in 0.861657  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.52|0.02): Converged to given tolerance of 1e-15 with r=5.31438e-18 in 2 iterations and in 0.861028  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.54|0.02): Converged to given tolerance of 1e-15 with r=3.43755e-16 in 6 iterations and in 2.57435  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.56|0.02): Converged to given tolerance of 1e-15 with r=9.59109e-18 in 3 iterations and in 1.28686  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.58|0.02): Converged to given tolerance of 1e-15 with r=4.14188e-16 in 6 iterations and in 2.6024  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.6|0.02): Converged to given tolerance of 1e-15 with r=8.7055e-16 in 7 iterations and in 3.28504  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.62|0.02): Converged to given tolerance of 1e-15 with r=1.37386e-16 in 3 iterations and in 1.30758  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.64|0.02): Converged to given tolerance of 1e-15 with r=1.28353e-17 in 3 iterations and in 1.32477  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.66|0.02): Converged to given tolerance of 1e-15 with r=3.1206e-19 in 3 iterations and in 1.32232  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.68|0.02): Converged to given tolerance of 1e-15 with r=4.38143e-18 in 3 iterations and in 1.35696  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.7|0.02): Converged to given tolerance of 1e-15 with r=2.39823e-16 in 4 iterations and in 1.73991  sec 
 SSTREAM(uvh/supg) (time|dt)=(1.72|0.02): Converged to given tolerance of 1e-15 with r=7.74425e-18 in 5 iterations and in 2.19065  sec 
